,date,open,high,low,close,volume,market cap
0,"Jan 18, 2023",21161.05,21564.5,20541.54,20688.78,30005625418.0,398593008037.0
1,"Jan 17, 2023",21175.83,21438.66,20978.53,21161.52,24999983362.0,407681958151.0
2,"Jan 16, 2023",20882.22,21360.87,20715.75,21169.63,26792494050.0,407818156777.0
3,"Jan 15, 2023",20977.48,20993.75,20606.99,20880.8,19298407543.0,402234665331.0
4,"Jan 14, 2023",19910.54,21075.14,19907.83,20976.3,38967784639.0,404052157141.0
5,"Jan 13, 2023",18868.91,19964.32,18753.16,19909.57,29225029694.0,383483154874.0
6,"Jan 12, 2023",17996.9,19030.09,17995.2,18869.59,34971338710.0,363433455081.0
7,"Jan 11, 2023",17446.36,17934.9,17337.99,17996.9,18372283782.0,345414665939.0
8,"Jan 10, 2023",17192.95,17484.72,17162.99,17446.29,15808338949.0,335987993694.0
9,"Jan 09, 2023",17093.99,17389.96,17093.99,17196.55,18624736866.0,331160060320.0
10,"Jan 08, 2023",16954.15,17091.14,16924.05,17091.14,9768827914.0,329114546384.0
11,"Jan 07, 2023",16952.12,16975.02,16914.19,16955.08,7714767174.0,326478273137.0
12,"Jan 06, 2023",16836.47,16991.99,16716.42,16951.97,14413662913.0,326401273259.0
13,"Jan 05, 2023",16863.47,16884.02,16790.28,16836.74,13692758566.0,324163886550.0
14,"Jan 04, 2023",16680.2,16964.59,16667.76,16863.24,18421743322.0,324658229825.0
15,"Jan 03, 2023",16688.85,16760.45,16622.37,16679.86,13903079207.0,321111951655.0
16,"Jan 02, 2023",16625.51,16759.34,16572.23,16688.47,12097775227.0,321262452551.0
17,"Jan 01, 2023",16547.91,16630.44,16521.23,16625.08,9244361700.0,320025834692.0
18,"Dec 31, 2022",16603.67,16628.99,16517.52,16547.5,11239186456.0,318516317872.0
19,"Dec 30, 2022",16641.33,16643.43,16408.48,16602.59,15929162910.0,319559502980.0
20,"Dec 29, 2022",16552.32,16651.76,16508.68,16642.34,14472237479.0,320309344586.0
21,"Dec 28, 2022",16716.4,16768.17,16497.56,16552.57,17005713920.0,318567071312.0
22,"Dec 27, 2022",16919.29,16959.85,16642.07,16717.17,15748580239.0,321717198701.0
23,"Dec 26, 2022",16842.25,16920.12,16812.37,16919.81,11886957804.0,325604307791.0
24,"Dec 25, 2022",16847.51,16860.55,16755.25,16841.99,11656379938.0,324093186301.0
25,"Dec 24, 2022",16796.98,16864.7,16793.53,16847.76,9744636213.0,324190184506.0
26,"Dec 23, 2022",16829.64,16905.22,16794.46,16796.95,15329265213.0,323203056786.0
27,"Dec 22, 2022",16818.38,16866.67,16592.41,16830.34,16441573050.0,323831438044.0
28,"Dec 21, 2022",16904.53,16916.8,16755.91,16817.53,14882945045.0,323570505190.0
29,"Dec 20, 2022",16441.79,17012.98,16427.87,16906.31,22722096615.0,325263465985.0
30,"Dec 19, 2022",16759.04,16807.53,16398.14,16439.68,17221074814.0,316271488937.0
31,"Dec 18, 2022",16795.61,16815.39,16697.82,16757.98,10924354698.0,322379914497.0
32,"Dec 17, 2022",16646.98,16800.59,16614.03,16795.09,14463581825.0,323078968932.0
33,"Dec 16, 2022",17364.55,17505.53,16584.7,16647.48,24031608960.0,320225997954.0
34,"Dec 15, 2022",17813.64,17846.74,17322.59,17364.86,20964448341.0,334010450284.0
35,"Dec 14, 2022",17782.07,18318.53,17739.51,17815.65,25534481470.0,342665763913.0
36,"Dec 13, 2022",17206.44,17930.09,17111.76,17781.32,26634741631.0,341988994228.0
37,"Dec 12, 2022",17102.5,17212.56,16899.39,17206.44,19617581341.0,330914961275.0
38,"Dec 11, 2022",17129.71,17245.64,17091.82,17104.19,14122486832.0,328933297476.0
39,"Dec 10, 2022",17134.22,17216.83,17120.68,17128.72,12706781969.0,329389313683.0
