,date,open_x,high_x,low_x,close_x,volume_x,market cap_x,open_y,high_y,low_y,close_y,volume_y,market cap_y,open,high,low,close,volume,market cap
0,2015-08-07,2.83,3.54,2.52,2.77,164329.0,166610555.0,1.0,1.0,1.0,1.0,189055.0,451600.0,278.74,280.39,276.37,279.58,42484800.0,4045993359.0
1,2015-08-08,2.79,2.8,0.7147,0.7533,674188.0,45486894.0,1.0,1.0,1.0,1.0,2229.0,451600.0,279.74,279.93,260.71,261.0,58533000.0,3778049024.0
2,2015-08-09,0.7061,0.8798,0.6292,0.7019,532170.0,42399573.0,1.0,1.0,1.0,1.0,657.0,451600.0,261.12,267.0,260.47,265.08,23789600.0,3838130130.0
3,2015-08-10,0.714,0.7299,0.6365,0.7084,405283.0,42818364.0,1.0,1.0,1.0,1.0,152265.0,451600.0,265.48,267.03,262.6,264.47,20979400.0,3830352069.0
4,2015-08-11,0.7081,1.13,0.6632,1.07,1463100.0,64569288.0,1.0,1.0,1.0,1.0,526.0,451600.0,264.34,270.39,264.09,270.39,25433900.0,3917142819.0
5,2015-08-12,1.06,1.29,0.8836,1.22,2150620.0,73645011.0,1.0,1.0,1.0,1.0,1602.0,451600.0,270.6,270.67,265.47,266.38,26815400.0,3859888131.0
6,2015-08-13,1.22,1.97,1.17,1.83,4068680.0,110607192.0,1.0,1.0,1.0,1.0,1521.0,451600.0,266.18,266.23,262.84,264.08,27685500.0,3827588724.0
7,2015-08-14,1.81,2.26,1.75,1.83,4637030.0,110672322.0,1.0,1.0,1.0,1.0,2346.0,451600.0,264.13,267.47,261.48,265.68,27091200.0,3851715726.0
8,2015-08-15,1.8,1.88,1.57,1.69,2554360.0,102303608.0,1.0,1.0,1.0,1.0,4232.0,451600.0,265.53,266.67,261.3,261.55,19321100.0,3792757590.0
9,2015-08-16,1.68,1.7,1.09,1.57,3550790.0,94901005.0,1.0,1.0,1.0,1.0,1644.0,451600.0,261.87,262.44,257.04,258.51,29717000.0,3749501856.0
10,2015-08-17,1.58,1.58,1.19,1.2,1942830.0,87295367.0,1.0,1.0,1.0,1.0,20942.0,451600.0,258.49,260.51,257.12,257.98,21617900.0,3742748055.0
