,date,open,high,low,close,volume,market cap
0,"Jan 18, 2023",1.0,1.0,0.9999,0.9999,40496222408.0,66484164731.0
1,"Jan 17, 2023",1.0,1.0,1.0,1.0,32250868598.0,66491710112.0
2,"Jan 16, 2023",1.0,1.0,1.0,1.0,35957366329.0,66363754798.0
3,"Jan 15, 2023",1.0,1.0,1.0,1.0,30028224816.0,66380183924.0
4,"Jan 14, 2023",1.0,1.0,1.0,1.0,53708266585.0,66283004520.0
5,"Jan 13, 2023",1.0,1.0,1.0,1.0,35704375577.0,66286766011.0
6,"Jan 12, 2023",1.0,1.0,0.9999,1.0,41556485542.0,66278686899.0
7,"Jan 11, 2023",1.0,1.0,0.9999,1.0,25576360686.0,66273821586.0
8,"Jan 10, 2023",0.9999,1.0,0.9999,1.0,23843949758.0,66279120254.0
9,"Jan 09, 2023",0.9999,1.0,0.9999,0.9999,31331363115.0,66272451376.0
10,"Jan 08, 2023",0.9999,1.0,0.9998,0.9999,14853747515.0,66269617017.0
11,"Jan 07, 2023",0.9997,0.9999,0.9997,0.9999,11626878301.0,66265590692.0
12,"Jan 06, 2023",0.9997,0.9998,0.9996,0.9997,20350836697.0,66255113261.0
13,"Jan 05, 2023",0.9998,0.9999,0.9997,0.9997,19334292777.0,66243609255.0
14,"Jan 04, 2023",0.9998,0.9999,0.9997,0.9998,24715975399.0,66247986170.0
15,"Jan 03, 2023",0.9998,0.9999,0.9997,0.9998,18233713873.0,66247763508.0
16,"Jan 02, 2023",0.9997,0.9998,0.9996,0.9998,16348780894.0,66248570202.0
17,"Jan 01, 2023",0.9997,0.9998,0.9996,0.9997,11344984018.0,66243294943.0
18,"Dec 31, 2022",0.9997,0.9998,0.9997,0.9997,13466542553.0,66242103758.0
19,"Dec 30, 2022",0.9997,0.9998,0.9996,0.9997,19162959224.0,66241114602.0
20,"Dec 29, 2022",0.9997,0.9998,0.9996,0.9997,18567214596.0,66237616406.0
21,"Dec 28, 2022",0.9999,0.9999,0.9997,0.9997,21161758512.0,66226814164.0
22,"Dec 27, 2022",0.9999,1.0,0.9998,0.9999,18554435182.0,66237735517.0
23,"Dec 26, 2022",0.9999,1.0,0.9999,0.9999,14986560291.0,66247317684.0
24,"Dec 25, 2022",0.9999,1.0,0.9999,0.9999,14856104217.0,66243849259.0
25,"Dec 24, 2022",0.9999,1.0,0.9999,0.9999,11647419533.0,66247148297.0
26,"Dec 23, 2022",1.0,1.0,0.9999,0.9999,18370924559.0,66246416322.0
27,"Dec 22, 2022",1.0,1.0,0.9999,1.0,20067291688.0,66248412922.0
28,"Dec 21, 2022",1.0,1.0,1.0,1.0,18469483242.0,66248041991.0
29,"Dec 20, 2022",1.0,1.0,1.0,1.0,26224288350.0,66216896860.0
30,"Dec 19, 2022",1.0,1.0,1.0,1.0,21820408554.0,66162378428.0
31,"Dec 18, 2022",1.0,1.0,1.0,1.0,14422416298.0,66167363728.0
32,"Dec 17, 2022",1.0,1.0,1.0,1.0,21306704152.0,66062840064.0
33,"Dec 16, 2022",1.0,1.0,1.0,1.0,31897990627.0,66050364005.0
34,"Dec 15, 2022",1.0,1.0,1.0,1.0,24979746073.0,65977267639.0
35,"Dec 14, 2022",1.0,1.0,0.9999,1.0,31427740393.0,65979324280.0
36,"Dec 13, 2022",1.0,1.0,0.9999,1.0,37452330494.0,65793194417.0
37,"Dec 12, 2022",1.0,1.0,1.0,1.0,25872687355.0,65715224907.0
38,"Dec 11, 2022",1.0,1.0,1.0,1.0,17036610394.0,65713319159.0
39,"Dec 10, 2022",1.0,1.0,1.0,1.0,16256414916.0,65711185951.0
40,"Dec 09, 2022",1.0,1.0,1.0,1.0,25000886944.0,65711417925.0
41,"Dec 08, 2022",1.0,1.0,0.9999,1.0,25868764140.0,65693567500.0
42,"Dec 07, 2022",1.0,1.0,0.9999,1.0,25829885797.0,65685368289.0
43,"Dec 06, 2022",1.0,1.0,1.0,1.0,25563996757.0,65581760637.0
44,"Dec 05, 2022",1.0,1.0,1.0,1.0,28743587598.0,65499776441.0
45,"Dec 04, 2022",1.0,1.0,1.0,1.0,21649754992.0,65504085441.0
46,"Dec 03, 2022",1.0,1.0,1.0,1.0,20609261957.0,65448401518.0
47,"Dec 02, 2022",1.0,1.0,1.0,1.0,26380777290.0,65366898692.0
48,"Dec 01, 2022",1.0,1.0,0.9999,1.0,29913541569.0,65365585069.0
49,"Nov 30, 2022",0.9997,1.0,0.9997,1.0,37405224166.0,65363690424.0
50,"Nov 29, 2022",0.9997,0.9998,0.9996,0.9997,31450915067.0,65345956019.0
51,"Nov 28, 2022",0.9996,0.9998,0.9996,0.9997,37268352299.0,65340594942.0
52,"Nov 27, 2022",0.9996,0.9997,0.9995,0.9996,27588594951.0,65336770716.0
53,"Nov 26, 2022",0.9996,0.9996,0.9995,0.9996,25190862393.0,65334834067.0
54,"Nov 25, 2022",0.9994,0.9996,0.9994,0.9996,25728613650.0,65335066420.0
55,"Nov 24, 2022",0.9992,0.9995,0.9991,0.9994,36841695607.0,65324717866.0
56,"Nov 23, 2022",0.9992,0.9992,0.999,0.9992,45720458651.0,65455873609.0
57,"Nov 22, 2022",0.9991,0.9993,0.9989,0.9992,44056204568.0,65451433603.0
58,"Nov 21, 2022",0.999,0.9992,0.9986,0.9991,54558293762.0,65824944069.0
59,"Nov 20, 2022",0.9991,0.9992,0.9988,0.999,33834889406.0,65817845549.0
60,"Nov 19, 2022",0.9992,0.9993,0.999,0.9991,23288439137.0,65885732666.0
61,"Nov 18, 2022",0.9994,0.9995,0.9991,0.9992,34879098921.0,65889509668.0
62,"Nov 17, 2022",0.9992,0.9996,0.9992,0.9994,37744442250.0,65905244432.0
63,"Nov 16, 2022",0.9991,0.9994,0.999,0.9992,45661177296.0,66007639797.0
64,"Nov 15, 2022",0.999,0.9992,0.9988,0.9991,47859299075.0,66001094931.0
65,"Nov 14, 2022",0.9988,0.9991,0.9986,0.999,65634612428.0,66316877821.0
66,"Nov 13, 2022",0.9986,0.9991,0.9985,0.9988,40189889540.0,66350624518.0
67,"Nov 12, 2022",0.9982,0.9988,0.9978,0.9986,40298138489.0,67326601827.0
68,"Nov 11, 2022",0.9978,0.9986,0.9969,0.9982,74933538836.0,68150169644.0
69,"Nov 10, 2022",0.9986,0.999,0.9815,0.9978,114807119109.0,68348821733.0
70,"Nov 09, 2022",1.0,1.0,0.9985,0.9986,143975136007.0,69765124874.0
71,"Nov 08, 2022",1.0,1.0,1.0,1.0,162734866334.0,69526710682.0
72,"Nov 07, 2022",1.0,1.0,1.0,1.0,72598608064.0,69503191642.0
73,"Nov 06, 2022",1.0,1.0,0.9999,1.0,51095877870.0,69366918016.0
74,"Nov 05, 2022",1.0,1.0,1.0,1.0,57121137337.0,69368920101.0
75,"Nov 04, 2022",1.0,1.0,0.9999,1.0,88078834184.0,69355955190.0
76,"Nov 03, 2022",0.9999,1.0,0.9999,1.0,61590549857.0,69351145665.0
77,"Nov 02, 2022",0.9999,1.0,0.9999,0.9999,76399032768.0,69419674992.0
78,"Nov 01, 2022",0.9999,0.9999,0.9998,0.9999,56795449219.0,69414628719.0
79,"Oct 31, 2022",1.0,1.0,0.9999,0.9999,67168423338.0,69416268972.0
80,"Oct 30, 2022",1.0,1.0,1.0,1.0,52873524542.0,69115463004.0
81,"Oct 29, 2022",1.0,1.0,1.0,1.0,67603092351.0,68992652340.0
82,"Oct 28, 2022",1.0,1.0,1.0,1.0,61718295435.0,68897317112.0
83,"Oct 27, 2022",1.0,1.0,1.0,1.0,68447928073.0,68893643673.0
84,"Oct 26, 2022",1.0,1.0,1.0,1.0,78294376043.0,68527526268.0
85,"Oct 25, 2022",1.0,1.0,1.0,1.0,64740988487.0,68487349188.0
86,"Oct 24, 2022",1.0,1.0,1.0,1.0,40494105063.0,68456986510.0
87,"Oct 23, 2022",1.0,1.0,1.0,1.0,31629519444.0,68458351755.0
88,"Oct 22, 2022",1.0,1.0,1.0,1.0,24133042918.0,68458949891.0
89,"Oct 21, 2022",0.9999,1.0,0.9999,1.0,41430999058.0,68461070858.0
90,"Oct 20, 2022",1.0,1.0,0.9999,0.9999,32981854458.0,68452145181.0
91,"Oct 19, 2022",1.0,1.0,1.0,1.0,32767030077.0,68456657001.0
92,"Oct 18, 2022",1.0,1.0,1.0,1.0,39012357142.0,68449787611.0
93,"Oct 17, 2022",1.0,1.0,1.0,1.0,36706571573.0,68437281969.0
94,"Oct 16, 2022",1.0,1.0,1.0,1.0,27428821905.0,68436428831.0
95,"Oct 15, 2022",1.0,1.0,1.0,1.0,25527432092.0,68438518111.0
96,"Oct 14, 2022",1.0,1.0,1.0,1.0,48926387475.0,68427521157.0
97,"Oct 13, 2022",0.9999,1.0,0.9999,1.0,60450860335.0,68427231800.0
98,"Oct 12, 2022",0.9999,1.0,0.9999,0.9999,33048616462.0,68421321796.0
99,"Oct 11, 2022",1.0,1.0,0.9999,0.9999,38468219592.0,68415115914.0
100,"Oct 10, 2022",1.0,1.0,0.9999,1.0,37843287016.0,68373109844.0
101,"Oct 09, 2022",1.0,1.0,1.0,1.0,22977760897.0,68382659680.0
